

npc= name:tree1, type:cut_tree, x:30, y:9, frozen:True
npc_interact=name:tree1, action:cut_tree


music=52 Road to Cherrygrove City ~ from New Bark Town.wav

door= from_x: 60,  from_y: 8, bg: newbark, x: 0, y: 10, facing: 3, washout:0
door= from_x: 60,  from_y: 9, bg: newbark, x: 0, y: 11, facing: 3, washout:0

extra_bg = bg:newbark, x_off:60, y_off:-2
move=x:41,y:9,tile:tall_grass
move=x:42,y:9,tile:grass
move=x:44,y:9,tile:grass
move=x:45,y:9,tile:grass
move=x:46,y:9,tile:grass
move=x:47,y:9,tile:grass
move=x:48,y:9,tile:grass
move=x:49,y:9,tile:grass
move=x:50,y:9,tile:cement
move=x:51,y:9,tile:cement
move=x:52,y:9,tile:cement
move=x:53,y:9,tile:cement
move=x:54,y:9,tile:cement
move=x:55,y:9,tile:cement
move=x:56,y:9,tile:cement
move=x:57,y:9,tile:cement
move=x:58,y:9,tile:cement
move=x:59,y:9,tile:cement
move=x:4,y:10,tile:tall_grass
move=x:5,y:10,tile:tall_grass
move=x:6,y:10,tile:cement
move=x:7,y:10,tile:cement
move=x:8,y:10,tile:cement
move=x:9,y:10,tile:cement
move=x:10,y:10,tile:cement
move=x:11,y:10,tile:cement
move=x:12,y:10,tile:grass
move=x:13,y:10,tile:grass
move=x:14,y:10,tile:grass
move=x:15,y:10,tile:grass
move=x:16,y:10,tile:grass
move=x:17,y:10,tile:grass
move=x:18,y:10,tile:grass
move=x:19,y:10,tile:grass
move=x:20,y:10,tile:grass
move=x:24,y:10,tile:grass
move=x:25,y:10,tile:grass
move=x:26,y:10,tile:grass
move=x:27,y:10,tile:grass
move=x:29,y:10,tile:grass
move=x:30,y:10,tile:grass
move=x:31,y:10,tile:grass
move=x:32,y:10,tile:grass
move=x:33,y:10,tile:grass
move=x:34,y:10,tile:grass
move=x:35,y:10,tile:grass
move=x:36,y:10,tile:grass
move=x:37,y:10,tile:grass
move=x:38,y:10,tile:grass
move=x:39,y:10,tile:grass
move=x:40,y:10,tile:tall_grass
move=x:41,y:10,tile:tall_grass
move=x:42,y:10,tile:grass
move=x:44,y:10,tile:tall_grass
move=x:45,y:10,tile:tall_grass
move=x:46,y:10,tile:tall_grass
move=x:47,y:10,tile:tall_grass
move=x:48,y:10,tile:grass
move=x:49,y:10,tile:grass
move=x:50,y:10,tile:grass
move=x:51,y:10,tile:grass
move=x:52,y:10,tile:grass
move=x:53,y:10,tile:grass
move=x:4,y:11,tile:tall_grass
move=x:5,y:11,tile:tall_grass
move=x:6,y:11,tile:cement
move=x:7,y:11,tile:cement
move=x:8,y:11,tile:cement
move=x:9,y:11,tile:cement
move=x:10,y:11,tile:cement
move=x:11,y:11,tile:cement
move=x:12,y:11,tile:grass
move=x:13,y:11,tile:grass
move=x:14,y:11,tile:grass
move=x:15,y:11,tile:grass
move=x:16,y:11,tile:grass
move=x:20,y:11,tile:grass
move=x:21,y:11,tile:grass
move=x:22,y:11,tile:grass
move=x:23,y:11,tile:grass
move=x:24,y:11,tile:grass
move=x:25,y:11,tile:grass
move=x:26,y:11,tile:grass
move=x:27,y:11,tile:grass
move=x:29,y:11,tile:grass
move=x:30,y:11,tile:grass
move=x:31,y:11,tile:grass
move=x:32,y:11,tile:grass
move=x:33,y:11,tile:grass
move=x:34,y:11,tile:grass
move=x:35,y:11,tile:grass
move=x:36,y:11,tile:grass
move=x:37,y:11,tile:grass
move=x:38,y:11,tile:grass
move=x:39,y:11,tile:grass
move=x:40,y:11,tile:tall_grass
move=x:41,y:11,tile:tall_grass
move=x:42,y:11,tile:grass
move=x:44,y:11,tile:tall_grass
move=x:45,y:11,tile:tall_grass
move=x:46,y:11,tile:tall_grass
move=x:47,y:11,tile:tall_grass
move=x:48,y:11,tile:grass
move=x:49,y:11,tile:grass
move=x:50,y:11,tile:grass
move=x:51,y:11,tile:grass
move=x:52,y:11,tile:grass
move=x:53,y:11,tile:grass
move=x:4,y:12,tile:tall_grass
move=x:5,y:12,tile:tall_grass
move=x:6,y:12,tile:tall_grass
move=x:7,y:12,tile:tall_grass
move=x:8,y:12,tile:tall_grass
move=x:9,y:12,tile:tall_grass
move=x:10,y:12,tile:tree
move=x:11,y:12,tile:tree
move=x:13,y:12,tile:grass
move=x:14,y:12,tile:grass
move=x:15,y:12,tile:grass
move=x:16,y:12,tile:grass
move=x:17,y:12,tile:grass
move=x:23,y:12,tile:grass
move=x:24,y:12,tile:grass
move=x:25,y:12,tile:grass
move=x:26,y:12,tile:grass
move=x:27,y:12,tile:grass
move=x:29,y:12,tile:grass
move=x:30,y:12,tile:grass
move=x:31,y:12,tile:grass
move=x:32,y:12,tile:grass
move=x:33,y:12,tile:grass
move=x:34,y:12,tile:grass
move=x:36,y:12,tile:tree
move=x:37,y:12,tile:tree
move=x:38,y:12,tile:grass
move=x:39,y:12,tile:grass
move=x:40,y:12,tile:grass
move=x:41,y:12,tile:grass
move=x:42,y:12,tile:grass
move=x:44,y:12,tile:tall_grass
move=x:45,y:12,tile:tall_grass
move=x:46,y:12,tile:tall_grass
move=x:47,y:12,tile:tall_grass
move=x:48,y:12,tile:tall_grass
move=x:49,y:12,tile:tall_grass
move=x:50,y:12,tile:tall_grass
move=x:51,y:12,tile:tall_grass
move=x:52,y:12,tile:tall_grass
move=x:53,y:12,tile:tall_grass
move=x:4,y:13,tile:tall_grass
move=x:5,y:13,tile:tall_grass
move=x:6,y:13,tile:tall_grass
move=x:7,y:13,tile:tall_grass
move=x:8,y:13,tile:tall_grass
move=x:9,y:13,tile:tall_grass
move=x:10,y:13,tile:tree
move=x:11,y:13,tile:tree
move=x:22,y:13,tile:grass
move=x:23,y:13,tile:grass
move=x:24,y:13,tile:grass
move=x:25,y:13,tile:grass
move=x:26,y:13,tile:grass
move=x:27,y:13,tile:grass
move=x:31,y:13,tile:grass
move=x:36,y:13,tile:tree
move=x:37,y:13,tile:tree
move=x:44,y:13,tile:tall_grass
move=x:45,y:13,tile:tall_grass
move=x:46,y:13,tile:tall_grass
move=x:47,y:13,tile:tall_grass
move=x:48,y:13,tile:tall_grass
move=x:49,y:13,tile:tall_grass
move=x:50,y:13,tile:tall_grass
move=x:51,y:13,tile:tall_grass
move=x:52,y:13,tile:tall_grass
move=x:53,y:13,tile:tall_grass
move=x:4,y:14,tile:tall_grass
move=x:5,y:14,tile:tall_grass
move=x:6,y:14,tile:tall_grass
move=x:7,y:14,tile:tall_grass
move=x:8,y:14,tile:tree
move=x:9,y:14,tile:tree
move=x:10,y:14,tile:tree
move=x:11,y:14,tile:tree
move=x:12,y:14,tile:tree
move=x:13,y:14,tile:tree
move=x:14,y:14,tile:grass
move=x:15,y:14,tile:grass
move=x:16,y:14,tile:grass
move=x:17,y:14,tile:grass
move=x:18,y:14,tile:grass
move=x:19,y:14,tile:grass
move=x:20,y:14,tile:grass
move=x:21,y:14,tile:grass
move=x:22,y:14,tile:grass
move=x:23,y:14,tile:grass
move=x:24,y:14,tile:grass
move=x:25,y:14,tile:grass
move=x:26,y:14,tile:grass
move=x:27,y:14,tile:grass
move=x:28,y:14,tile:grass
move=x:29,y:14,tile:grass
move=x:30,y:14,tile:cement
move=x:31,y:14,tile:cement
move=x:32,y:14,tile:grass
move=x:33,y:14,tile:grass
move=x:34,y:14,tile:tree
move=x:35,y:14,tile:tree
move=x:36,y:14,tile:tree
move=x:37,y:14,tile:tree
move=x:38,y:14,tile:tall_grass
move=x:39,y:14,tile:tall_grass
move=x:40,y:14,tile:tall_grass
move=x:41,y:14,tile:tall_grass
move=x:42,y:14,tile:tall_grass
move=x:43,y:14,tile:tall_grass
move=x:44,y:14,tile:tall_grass
move=x:45,y:14,tile:tall_grass
move=x:46,y:14,tile:tall_grass
move=x:47,y:14,tile:tall_grass
move=x:4,y:15,tile:tall_grass
move=x:5,y:15,tile:tall_grass
move=x:6,y:15,tile:tall_grass
move=x:7,y:15,tile:tall_grass
move=x:8,y:15,tile:tree
move=x:9,y:15,tile:tree
move=x:10,y:15,tile:tree
move=x:11,y:15,tile:tree
move=x:12,y:15,tile:tree
move=x:13,y:15,tile:tree
move=x:14,y:15,tile:grass
move=x:15,y:15,tile:grass
move=x:16,y:15,tile:grass
move=x:17,y:15,tile:grass
move=x:18,y:15,tile:grass
move=x:19,y:15,tile:grass
move=x:20,y:15,tile:grass
move=x:21,y:15,tile:grass
move=x:22,y:15,tile:grass
move=x:23,y:15,tile:grass
move=x:24,y:15,tile:grass
move=x:25,y:15,tile:grass
move=x:26,y:15,tile:grass
move=x:27,y:15,tile:grass
move=x:28,y:15,tile:grass
move=x:29,y:15,tile:grass
move=x:30,y:15,tile:cement
move=x:31,y:15,tile:cement
move=x:32,y:15,tile:grass
move=x:33,y:15,tile:grass
move=x:34,y:15,tile:tree
move=x:35,y:15,tile:tree
move=x:36,y:15,tile:tree
move=x:37,y:15,tile:tree
move=x:38,y:15,tile:tall_grass
move=x:39,y:15,tile:tall_grass
move=x:40,y:15,tile:tall_grass
move=x:41,y:15,tile:tall_grass
move=x:42,y:15,tile:tall_grass
move=x:43,y:15,tile:tall_grass
move=x:44,y:15,tile:tall_grass
move=x:45,y:15,tile:tall_grass
move=x:46,y:15,tile:tall_grass
move=x:47,y:15,tile:tall_grass
move=x:0,y:16,tile:tree
move=x:1,y:16,tile:tree
move=x:2,y:16,tile:tree
move=x:3,y:16,tile:tree
move=x:4,y:16,tile:tree
move=x:5,y:16,tile:tree
move=x:6,y:16,tile:tree
move=x:7,y:16,tile:tree
move=x:8,y:16,tile:tree
move=x:9,y:16,tile:tree
move=x:10,y:16,tile:tree
move=x:11,y:16,tile:tree
move=x:12,y:16,tile:tree
move=x:13,y:16,tile:tree
move=x:14,y:16,tile:tree
move=x:15,y:16,tile:tree
move=x:16,y:16,tile:tree
move=x:17,y:16,tile:tree
move=x:18,y:16,tile:tree
move=x:19,y:16,tile:tree
move=x:20,y:16,tile:tree
move=x:21,y:16,tile:tree
move=x:22,y:16,tile:tree
move=x:23,y:16,tile:tree
move=x:24,y:16,tile:grass
move=x:25,y:16,tile:grass
move=x:26,y:16,tile:grass
move=x:27,y:16,tile:grass
move=x:28,y:16,tile:grass
move=x:29,y:16,tile:grass
move=x:30,y:16,tile:cement
move=x:31,y:16,tile:cement
move=x:32,y:16,tile:cement
move=x:33,y:16,tile:cement
move=x:34,y:16,tile:cement
move=x:35,y:16,tile:cement
move=x:36,y:16,tile:grass
move=x:37,y:16,tile:grass
move=x:38,y:16,tile:grass
move=x:39,y:16,tile:grass
move=x:40,y:16,tile:tall_grass
move=x:41,y:16,tile:tall_grass
move=x:42,y:16,tile:tall_grass
move=x:43,y:16,tile:tall_grass
move=x:0,y:17,tile:tree
move=x:1,y:17,tile:tree
move=x:2,y:17,tile:tree
move=x:3,y:17,tile:tree
move=x:4,y:17,tile:tree
move=x:5,y:17,tile:tree
move=x:6,y:17,tile:tree
move=x:7,y:17,tile:tree
move=x:8,y:17,tile:tree
move=x:9,y:17,tile:tree
move=x:10,y:17,tile:tree
move=x:11,y:17,tile:tree
move=x:12,y:17,tile:tree
move=x:13,y:17,tile:tree
move=x:14,y:17,tile:tree
move=x:15,y:17,tile:tree
move=x:16,y:17,tile:tree
move=x:17,y:17,tile:tree
move=x:18,y:17,tile:tree
move=x:19,y:17,tile:tree
move=x:20,y:17,tile:tree
move=x:21,y:17,tile:tree
move=x:22,y:17,tile:tree
move=x:23,y:17,tile:tree
move=x:26,y:17,tile:grass
move=x:27,y:17,tile:grass
move=x:28,y:17,tile:grass
move=x:29,y:17,tile:grass
move=x:30,y:17,tile:cement
move=x:31,y:17,tile:cement
move=x:32,y:17,tile:cement
move=x:33,y:17,tile:cement
move=x:34,y:17,tile:cement
move=x:35,y:17,tile:cement
move=x:36,y:17,tile:grass
move=x:37,y:17,tile:grass
move=x:38,y:17,tile:grass
move=x:39,y:17,tile:grass
move=x:40,y:17,tile:tall_grass
move=x:41,y:17,tile:tall_grass
move=x:42,y:17,tile:tall_grass
move=x:43,y:17,tile:tall_grass
